Name,Опис,Повний опис,Фото,ключові слова
Daily Use,"Легка, поживна та делікатна формула для щоденного очищення волосся і шкіри голови.","Insight створив окрему лінію для частого та щоденного миття всіх типів волосся. Засоби забезпечують миттєво здоровий вигляд і блиск волосся.
Також доступна компактна концентрована версія з рослинним гліцерином із ніжною текстурою, що тане — ідеальний варіант для подорожей та активного ритму життя.",image%2014.png,"щоденне/часте миття · усі типи волосся · зволоження + блиск без обтяження · тревел-версія з гліцерином · лимон + абрикос + кукурудза (сухий шампунь: нім + фітопланктон).

"
Dry Hair,"Лінія для відновлення життєвої сили, еластичності, міцності та глибокого живлення сухого, тьмяного й ламкого волосся.","Активні інгредієнти лінії Dry від Insight поєднують живлення, заспокоєння та зміцнення, відновлюючи силу і блиск сухого та тьмяного волосся. Лінія також представлена у концентрованому форматі з “танучою” текстурою — зручно брати із собою у подорожі або в ручну поклажу.",image%209.png,"глибоке живлення сухого волосся · еластичність і міцність · проти ламкості й тьмяності · тревел-формат · овес + ілліпе + кокос.

"
Colored Hair,"Підкреслює колір волосся, оживляє відтінки та допомагає зберегти інтенсивність і блиск надовго.","Активні компоненти — органічний екстракт макадамії, екстракт хни та масло манго — допомагають зберегти насиченість кольору та блиск фарбованого волосся і пасом, оживляючи глибину відтінків.",image%2012.png,"захист кольору фарбованого/мелірованого волосся · проти вимивання · кисла маска запечатує кутикулу · глибина відтінку + блиск · хна + манго + макадамія.

"
Antioxidant,"Допомагає захистити волосся від вільних радикалів, забруднень та агресивних факторів довкілля.","Комплекс засобів для зміцнення та живлення волосся, що піддається впливу агресивних зовнішніх факторів — хлору, морського повітря та забруднень. Захищає від вільних радикалів і допомагає відновити структуру та здоров’я волосся.",image%2013.png,"антиоксидантний захист · вільні радикали · хлор / море / забруднення · для всіх типів · морква + соя + фундук.

"
Damaged Hair,"Відновлює здоров’я, блиск і життєву силу ослабленого, пошкодженого та стресованого волосся.","Ослаблене волосся потребує інтенсивного догляду для живлення та відновлення його структури.
Ця лінія, також представлена у варіанті з легкою танучою текстурою, ефективно відповідає потребам волосся, яке стало крихким і тьмяним через агресивні хімічні процедури, зміну сезонів і вплив високих температур.",image%2010.png,"відновлення структури · після хімії/термо/сезону · еластичність і міцність · блиск без обтяження · пшениця + олива + арган (спрей: пшениця + бамбук + фукус).

"
Anti-frizz,"Ефективно зволожує неслухняне та пухнасте волосся, роблячи його м’яким і захищеним від вологи.","Пухнасте волосся виникає через нестачу зволоження та підняту структуру кутикули.
Лінія Anti-Frizz, також представлена у варіанті з легкою танучою текстурою, зволожує та дисциплінує волосся, роблячи його м’яким, слухняним і легшим у стайлінгу.",image%207.png,"проти пухнастості (frizz) · зволоження + розгладження · захист від вологи · закриття кутикули · амарант + льон + бавовняна олія.

"
Volumizing,"Збільшує об’єм тонкого волосся, не обтяжуючи його, надаючи більше щільності, текстури та природної пишності.","Тонке волосся потребує об’єму без відчуття важкості. Саме тому Insight створив лінію, яка дарує стійкий ефект густоти й об’єму, зміцнює та ущільнює волосся, зволожує його і робить більш пишним — без обтяження.",image%206.png,"об'єм для тонкого волосся · без обтяження · щільність і пишність · прикореневий об'єм · женьшень + псіліум + біла кропива.

"
Elasti-curl,"Розроблено для догляду та краси всіх типів кучерявого волосся,
підсилюючи чіткість завитка та його еластичність.","Insight пропонує спеціалізовані засоби для всіх етапів догляду — від очищення до стайлінгу — для будь-якого типу кучерявого волосся.
Лінія формує завиток і живить волосся, забезпечуючи ефект розплутування та дисциплінування.
Формули Elasti-Curl Textured розроблені для легкого нанесення навіть на кучері, які складно піддаються догляду та розчісуванню.",image%208.png,"усі типи кучерів · чіткість і еластичність завитка · антифриз-ефект · захист від вологи · повний цикл догляду й стайлінгу · кокос + чіа + сача інчі.

"
Rebalancing,"Лінія з очищувальною та нормалізуючою дією,
ідеальна для відновлення балансу шкіри голови.","Лінія Ребалансін відновлює баланс волосся та шкіри голови, забезпечуючи очищення та детокс завдяки м’яким очищувальним і заспокійливим формулам.
Засоби розроблені так, щоб нормалізувати стан шкіри голови без стресу для неї та зберігати її гідроліпідний баланс.",image%204.png,"баланс і детокс шкіри голови · глина проти себуму · ексфоліація · гідроліпідний баланс · мікроводорості + береза + лаванда.

"
Clarifying,Очищує та видаляє забруднення зі шкіри голови завдяки поєднанню сучасних технологій і сили натуральних екстрактів.,"Лінія, що допомагає боротися з лупою, спричиненою порушенням природного балансу шкіри голови.
Поєднання сучасних технологій і корисних властивостей натуральних екстрактів забезпечує очищувальну та освіжаючу дію.",image%203.png,"проти лупи · очищення шкіри голови · нормалізація балансу · для чутливої шкіри · шавлія + чебрець + розмарин.

"
