Name,Підходить для,Опис,Фото,Повний опис
Lifestyling," всіх типів волосся та будь-яких укладок","Серія для захисту, фіксації та
створення стійких укладок",image.png,
Insta.light,"всіх типів волосся, особливо
тьмяного та неслухняного","Серія для ефекту скляного волосся:
миттєва гладкість, дзеркальний
блиск і шовковистість без
обтяження",image%201.png,
Sun & More,"волосся та шкіри після сонця, моря,
басейну","Серія для захисту, зволоження та
відновлення волосся і шкіри після
сонця",image%202.png,
No frizz allowed," сухого, пухнастого та неслухняного волосся","Серія для розгладження волосся
та контролю пухнастості",image%203.png,
Make my day,"нормальне, сухе, тьмяне, фарбоване волосся","Зволожує, пом’якшує, додає
блиску, не обтяжує",image%204.png,
Argan,"сухого, пошкодженого та тьмяного волосся
","Серія для інтенсивного живлення
та відновлення волосся",image%205.png,
Deep detox,всіх типів волосся,"Серія для глибокого очищення та
детоксикації шкіри голови",image%206.png,
Normalizing blend,жирної та комбінованої шкіри голови,"Серія для відновлення балансу та
здоров’я шкіри голови",image%207.png,
Purifying blend,"жирного, нормального та змішаного
волосся","Серія для глибокого очищення
волосся та шкіри голови",image%208.png,
Energizin blend," всіх типів волосся","Серія для зміцнення волосся та
покращення і відновлення
здоров’я шкіри голови
",image%209.png,
volume solution," тонкого, слабкого та нормального волосся","Серія для додання об’єму
тонкому та слабкому волоссю ",image%2010.png,
Curl Passion,"очищає , помякшує . зволожує , відновлює ","Лінійка для догляду за кучерявим
та хвилястим волоссям
",image%2011.png,
Pink Lemonade,"блонду, освітленого та світлого волосся","Серія для підтримки кольору та
надання ніжного рожевого
відтінку світлому волоссю
",image%2012.png,
Cold Brunette,"брюнеток, шатенок, фарбованого та
натурального темного волосся","Серія для нейтралізації теплих, мідних і червоних відтінків у темному та каштановому волоссі",image%2013.png,
Icy Blond,"блонду, освітленого та сивого волосся",Серія для нейтралізації жовтих і рудих відтінків та підтримки холодного тону світлого волосся,image%2014.png,
Silver shine,"блонду, освітленого та сивого волосся","Серія для нейтралізації жовтих відтінків та підтримки холодного тону світлого волосся
",image%2015.png,
Integrity & strength,"сухого, пошкодженого та
ослабленого волосся","Відновлювальна серія для зміцнення, живлення та захисту волосся",image%2016.png,
Moisture & more,сухого волосся,Інтенсивне зволоження та живлення сухого волосся,image%2017.png,
Flower power,"всіх типів волосся, особливо фарбованого, сухого та тьмяного",Веганська серія для ніжного щоденного догляду та зволоження фарбованого волосся,image%2018.png,
Color Care,"фарбоване, тоноване, освітлене волосся","Серія для догляду за фарбованим
волоссям та збереження яскравості
кольору",image%2019.png,
Leave in," усі типи волосся, особливо сухе, пористе та пошкоджене",Незмивний кондиціонер-спрей для миттєвого зволоження та захисту волосся,image%2020.png,
Incredible,"сухе, пошкоджене, фарбоване, ослаблене волосся","Живить, зміцнює, захищає та
надає блиску без обтяження",image%2021.png,
