Name,Опис,Повний опис,Підходить для,Фото
Make my day,"Зволожує, пом’якшує, додає
блиску, не обтяжує",,"нормальне, сухе, тьмяне, фарбоване волосся",image%204.png
Incredible,"Живить, зміцнює, захищає та
надає блиску без обтяження",,"сухе, пошкоджене, фарбоване, ослаблене волосся",image%2021.png
Leave in,Незмивний кондиціонер-спрей для миттєвого зволоження та захисту волосся,," усі типи волосся, особливо сухе, пористе та пошкоджене",image%2020.png
Color Care,"Серія для догляду за фарбованим
волоссям та збереження яскравості
кольору",,"фарбоване, тоноване, освітлене волосся",image%2019.png
Flower power,Веганська серія для ніжного щоденного догляду та зволоження фарбованого волосся,,"всіх типів волосся, особливо фарбованого, сухого та тьмяного",image%2018.png
Moisture & more,Інтенсивне зволоження та живлення сухого волосся,,сухого волосся,image%2017.png
Integrity & strength,"Відновлювальна серія для зміцнення, живлення та захисту волосся",,"сухого, пошкодженого та
ослабленого волосся",image%2016.png
Silver shine,"Серія для нейтралізації жовтих відтінків та підтримки холодного тону світлого волосся
",,"блонду, освітленого та сивого волосся",image%2015.png
Icy Blond,Серія для нейтралізації жовтих і рудих відтінків та підтримки холодного тону світлого волосся,,"блонду, освітленого та сивого волосся",image%2014.png
Cold Brunette,"Серія для нейтралізації теплих, мідних і червоних відтінків у темному та каштановому волоссі",,"брюнеток, шатенок, фарбованого та
натурального темного волосся",image%2013.png
Pink Lemonade,"Серія для підтримки кольору та
надання ніжного рожевого
відтінку світлому волоссю
",,"блонду, освітленого та світлого волосся",image%2012.png
Curl Passion,"Лінійка для догляду за кучерявим
та хвилястим волоссям
",,"очищає , помякшує . зволожує , відновлює ",image%2011.png
volume solution,"Серія для додання об’єму
тонкому та слабкому волоссю ",," тонкого, слабкого та нормального волосся",image%2010.png
Energizin blend,"Серія для зміцнення волосся та
покращення і відновлення
здоров’я шкіри голови
",," всіх типів волосся",image%209.png
Purifying blend,"Серія для глибокого очищення
волосся та шкіри голови",,"жирного, нормального та змішаного
волосся",image%208.png
Normalizing blend,"Серія для відновлення балансу та
здоров’я шкіри голови",,жирної та комбінованої шкіри голови,image%207.png
Deep detox,"Серія для глибокого очищення та
детоксикації шкіри голови",,всіх типів волосся,image%206.png
Argan,"Серія для інтенсивного живлення
та відновлення волосся",,"сухого, пошкодженого та тьмяного волосся
",image%205.png
No frizz allowed,"Серія для розгладження волосся
та контролю пухнастості",," сухого, пухнастого та неслухняного волосся",image%203.png
Sun & More,"Серія для захисту, зволоження та
відновлення волосся і шкіри після
сонця",,"волосся та шкіри після сонця, моря,
басейну",image%202.png
Insta.light,"Серія для ефекту скляного волосся:
миттєва гладкість, дзеркальний
блиск і шовковистість без
обтяження",,"всіх типів волосся, особливо
тьмяного та неслухняного",image%201.png
Lifestyling,"Серія для захисту, фіксації та
створення стійких укладок",," всіх типів волосся та будь-яких укладок",image.png
